person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
34814,5048585,felony,property,2017-10-09,4664272,19.378082191780823,M,,2017-12-11,1,1,1
74829,1820881,misdemeanor,violent,2019-04-26,3392137,27.47945205479452,M,Black,2018-07-21,0,0,0
115968,7003779,misdemeanor,violent,2016-05-30,7003779,30.983561643835618,M,Black,2016-05-30,0,0,0
42402,6332624,misdemeanor,other,2016-12-15,6701778,32.106849315068494,M,White,2016-08-27,0,0,0
92636,6870865,misdemeanor,property,2016-07-07,5155920,56.054794520547944,M,Black,2017-09-19,0,0,0
13178,7905613,misdemeanor,other,2015-09-30,6641052,20.01095890410959,M,Black,2016-09-13,1,0,0
121540,6936297,felony,other,2016-06-17,6936297,22.23013698630137,M,Black,2016-06-17,0,1,0
533988,6745550,misdemeanor,other,2016-08-14,6485726,27.197260273972603,M,White,2016-10-30,0,0,0
5400,3061999,felony,property,2018-09-06,4292218,27.21917808219178,M,Black,2018-02-22,1,1,0
134133,4513745,misdemeanor,other,2018-01-14,4513745,51.136986301369866,M,Black,2018-01-14,0,0,0
1009164,8920420,misdemeanor,property,2014-11-04,7293010,26.153424657534245,M,Black,2016-03-30,0,0,0
55857,8683231,misdemeanor,drug,2015-01-29,6102845,27.07945205479452,F,White,2017-02-17,0,0,0
106675,10248015,misdemeanor,drug,2013-08-20,6671035,23.64109589041096,M,Black,2016-09-05,0,0,0
1162141,10072277,misdemeanor,other,2013-10-22,6068520,24.991780821917807,M,Black,2017-02-27,0,0,0
64186,2855309,misdemeanor,drug,2018-10-16,6203506,35.85753424657534,M,Black,2017-01-24,0,0,0
146410,5935381,misdemeanor,property,2017-04-03,5763206,53.31506849315068,M,Black,2017-05-17,1,0,0
73796,6784002,misdemeanor,property,2016-08-03,5195856,30.243835616438357,M,Black,2017-09-12,0,0,0
932315,5974125,misdemeanor,drug,2017-03-24,6386392,22.084931506849315,M,Black,2016-11-26,1,0,0
